59763	2	1435	1	2	2	1	1	-1	
59763	2	1609	2	4	4	4	5	1	
59763	2	1783	1	3	3	3	2	2	
59763	2	1845	3	10	10	10	10	1	
59763	2	1915	4	19	2	-1	-1	-1	
59763	2	2810	5	-1	-1	-1	-1	-1	
50687	2	1125	2	7	6	6	1	-1	
50687	2	1225	3	8	8	8	9	-1	
50687	2	1247	1	-1	-1	-1	-1	-1	
50687	2	1357	2	5	6	5	5	6	
50687	2	1637	7	15	15	16	15	16	
50687	2	1849	3	11	13	13	10	11	
50687	2	1926	3	11	11	10	1	-1	
50687	2	2811	3	-1	-1	-1	-1	-1	
61158	2	1012	3	10	9	9	10	10	
61158	2	1209	2	5	7	5	1	-1	
61158	2	1287	1	2	2	-1	-1	-1	
61158	2	1357	4	12	12	12	11	12	
61158	2	1609	1	2	1	1	1	1	
61158	2	1765	2	11	7	2	1	-1	
61158	2	1805	2	9	7	2	-1	-1	
61158	2	1907	1	1	1	-1	-1	-1	
61158	2	2802	3	-1	-1	-1	-1	-1	
50701	2	1259	1	3	-1	-1	-1	-1	
50701	2	1261	1	1	2	1	-1	-1	
50701	2	1318	1	3	1	2	1	1	
50701	2	1442	1	2	3	3	-1	-1	
50701	2	1669	1	1	1	1	1	1	
50701	2	1792	1	1	3	2	-1	-1	
50701	2	1869	1	2	1	1	-1	-1	
50701	2	1920	1	3	1	-1	-1	-1	
50701	2	2811	1	-1	-1	-1	-1	-1	
51270	2	1207	6	19	21	20	20	-1	
51270	2	1355	1	3	2	3	4	4	
51270	2	1412	2	5	5	1	-1	-1	
51270	2	1605	4	14	12	12	13	12	
51270	2	1765	1	5	1	2	2	-1	
51270	2	1805	2	9	6	1	-1	-1	
51270	2	1906	1	2	1	-1	-1	-1	
51270	2	2801	4	-1	-1	-1	-1	-1	
51270	2	2836	1	1	1	-1	-1	-1	
59937	2	1077	1	5	-1	-1	-1	-1	
59937	2	1125	1	2	3	3	1	-1	
59937	2	1281	1	1	1	1	1	-1	
59937	2	1680	1	1	1	1	2	1	
59937	2	1869	1	4	2	1	-1	-1	
59937	2	1947	3	9	1	-1	-1	-1	
59937	2	2818	5	-1	-1	-1	-1	-1	
61145	2	1032	1	2	1	1	-1	-1	
61145	2	1125	3	8	9	8	1	-1	
61145	2	1225	4	10	11	11	10	-1	
61145	2	1637	4	10	10	10	10	10	
61145	2	1783	2	5	6	6	5	4	
61145	2	1834	2	9	7	7	1	-1	
61145	2	1926	2	9	7	8	1	-1	
61145	2	2811	4	-1	-1	-1	-1	-1	
51520	2	1215	1	1	1	4	4	-1	
51520	2	1357	3	9	8	8	9	10	
51520	2	1443	1	2	6	1	-1	-1	
51520	2	1615	4	12	11	12	12	10	
51520	2	1766	2	1	-1	-1	-1	-1	
51520	2	1785	1	1	1	1	1	2	
51520	2	1835	1	2	2	3	1	-1	
51520	2	1970	1	3	1	2	1	-1	
51520	2	2810	2	-1	-1	-1	-1	-1	
14503	2	1031	1	5	2	1	-1	-1	
14503	2	1215	1	4	4	5	2	-1	
14503	2	1582	1	1	1	2	2	2	
14503	2	1615	3	7	7	7	8	9	
14503	2	1783	1	2	1	2	3	1	
14503	2	1805	3	11	9	2	-1	-1	
14503	2	1915	1	4	2	-1	-1	-1	
14503	2	2810	3	-1	-1	-1	-1	-1	
14503	2	2976	1	3	3	2	3	2	
58891	2	1105	1	4	4	3	1	-1	
58891	2	1225	2	6	6	6	4	-1	
58891	2	1627	1	-1	-1	-1	-1	-1	
58891	2	1637	1	1	3	1	2	3	
58891	2	1782	2	6	5	7	7	8	
58891	2	1805	1	2	2	2	-1	-1	
58891	2	1926	2	8	6	6	1	-1	
58891	2	2810	5	-1	-1	-1	-1	-1	
58891	2	2811	2	-1	-1	-1	-1	-1	
49990	2	1059	1	1	-1	-1	-1	-1	
49990	2	1065	1	1	1	-1	-1	-1	
49990	2	1282	1	2	1	-1	-1	-1	
49990	2	1660	1	1	1	1	2	2	
49990	2	1867	1	2	1	4	-1	-1	
49990	2	1947	1	1	1	-1	-1	-1	
49990	2	2818	1	-1	-1	-1	-1	-1	
44811	2	1125	1	4	3	2	1	-1	
44811	2	1199	1	-1	-1	-1	-1	-1	
44811	2	1225	7	17	17	17	17	-1	
44811	2	1359	1	2	3	2	2	2	
44811	2	1649	1	1	1	3	2	2	
44811	2	1744	1	1	-1	-1	-1	-1	
44811	2	1849	1	3	2	2	4	3	
44811	2	1926	1	4	4	5	1	-1	
44811	2	2811	3	-1	-1	-1	-1	-1	
62162	2	1125	1	3	4	1	1	-1	
62162	2	1225	3	9	7	9	8	-1	
62162	2	1355	1	4	4	3	4	3	
62162	2	1627	2	-1	-1	-1	-1	-1	
62162	2	1637	6	13	13	13	14	14	
62162	2	1785	1	1	2	2	1	3	
62162	2	1834	1	2	2	5	1	-1	
62162	2	1925	2	5	5	5	1	-1	
62162	2	2811	1	-1	-1	-1	-1	-1	
62162	2	1215	3	12	12	11	12	-1	
58461	2	1012	1	3	2	5	2	3	
58461	2	1207	7	23	23	23	22	-1	
58461	2	1355	1	1	2	2	2	4	
58461	2	1605	1	3	5	5	5	3	
58461	2	1765	3	13	13	1	2	-1	
58461	2	1805	1	4	3	2	-1	-1	
58461	2	1906	2	7	1	-1	-1	-1	
58461	2	2803	2	-1	-1	-1	-1	-1	
58461	2	2836	1	1	1	-1	-1	-1	
58399	2	1235	1	3	3	3	2	-1	
58399	2	1515	1	3	2	-1	-1	-1	
58399	2	1584	1	-1	-1	-1	-1	-1	
58399	2	1867	1	3	1	5	-1	-1	
58399	2	1947	1	2	1	-1	-1	-1	
58399	2	2818	5	-1	-1	-1	-1	-1	
58399	2	1926	2	9	9	8	1	-1	
58400	2	1207	2	5	8	7	8	-1	
58400	2	1355	1	1	2	4	3	2	
58400	2	1422	1	2	1	1	3	-1	
58400	2	1523	2	4	4	4	-1	-1	
58400	2	1605	1	2	1	2	3	3	
58400	2	1765	1	3	1	2	2	-1	
58400	2	1843	1	2	-1	-1	-1	-1	
58400	2	1906	4	10	1	-1	-1	-1	
58400	2	2808	1	-1	-1	-1	-1	-1	
50504	2	1012	2	8	8	7	6	8	
50504	2	1209	1	2	1	1	1	-1	
50504	2	1355	3	8	7	8	8	7	
50504	2	1609	2	4	4	4	4	1	
50504	2	1782	2	5	6	5	5	6	
50504	2	1809	2	6	1	1	-1	-1	
50504	2	1959	1	2	4	4	1	-1	
50504	2	2802	4	-1	-1	-1	-1	-1	
50504	2	1435	1	2	2	2	2	-1	
62592	2	1061	1	1	-1	-1	-1	-1	
62592	2	1215	1	3	1	3	1	-1	
62592	2	1357	1	1	2	2	2	2	
62592	2	1425	1	1	1	1	2	-1	
62592	2	1615	5	13	13	13	15	13	
62592	2	1771	1	1	2	-1	-1	-1	
62592	2	1834	1	4	3	3	1	-1	
62592	2	1915	4	18	1	-1	-1	-1	
62592	2	2810	5	-1	-1	-1	-1	-1	
53932	2	1012	3	10	10	10	9	10	
53932	2	1077	1	1	-1	-1	-1	-1	
53932	2	1207	5	18	16	17	16	-1	
53932	2	1357	2	6	7	7	6	7	
53932	2	1605	6	18	17	17	18	17	
53932	2	1765	2	11	8	1	2	-1	
53932	2	1805	2	10	6	2	-1	-1	
53932	2	1906	2	5	1	-1	-1	-1	
53932	2	2807	4	-1	-1	-1	-1	-1	
50955	2	1225	6	15	16	15	16	-1	
50955	2	1393	1	-1	-1	-1	-1	-1	
50955	2	1535	1	2	1	-1	-1	-1	
50955	2	1605	3	11	9	11	10	9	
50955	2	1782	2	7	6	5	6	6	
50955	2	1805	1	5	1	2	-1	-1	
50955	2	1926	3	12	11	11	1	-1	
50955	2	2811	3	-1	-1	-1	-1	-1	
50955	2	2966	1	3	4	1	4	1	
51560	2	1105	2	9	10	11	1	-1	
51560	2	1219	1	3	4	3	1	-1	
51560	2	1318	1	3	1	2	3	1	
51560	2	1352	1	-1	-1	-1	-1	-1	
51560	2	1629	1	1	2	2	3	1	
51560	2	1785	1	2	3	3	2	3	
51560	2	1845	2	8	8	8	8	1	
51560	2	1919	3	14	2	-1	-1	-1	
51560	2	2810	1	-1	-1	-1	-1	-1	
